,param_degree,param_kernel,param_l2reg,param_offset,param_sigma,mean_test_sqloss,mean_train_sqloss
5998,-,RBF,0.0009833550293525538,-,0.1,0.014890414390919085,0.014938225915936788
5995,-,RBF,0.0009901948044827426,-,0.1,0.01489183681370937,0.014944591149034132
5992,-,RBF,0.0009970821540112263,-,0.1,0.014893269583622741,0.014950987950828928
5989,-,RBF,0.001004017408844111,-,0.1,0.014894712892047962,0.014957416490824849
5986,-,RBF,0.001011000902189142,-,0.1,0.014896166934238177,0.014963876939364365
5983,-,RBF,0.0010180329695717075,-,0.1,0.014897631909234725,0.014970369467555604
5980,-,RBF,0.0010251139488509549,-,0.1,0.01489910801978676,0.01497689424730265
5977,-,RBF,0.001032244180236027,-,0.1,0.014900595472492085,0.01498345145131426
5974,-,RBF,0.0010394240063024138,-,0.1,0.014902094477607,0.014990041253022406
5971,-,RBF,0.0010466537720084065,-,0.1,0.014903605249444889,0.01499666382663186
5968,-,RBF,0.0010539338247116657,-,0.1,0.014905128005769461,0.01500331934705805
5965,-,RBF,0.0010612645141859153,-,0.1,0.014906662968357964,0.015010007989952284
5962,-,RBF,0.0010686461926377533,-,0.1,0.014908210362706403,0.015016729931684913
5959,-,RBF,0.0010760792147235683,-,0.1,0.014909770418009173,0.015023485349251842
5956,-,RBF,0.001083563937566574,-,0.1,0.014911343367214482,0.01503027442040056
5953,-,RBF,0.0010911007207739722,-,0.1,0.014912929447237804,0.015037097323472024
5950,-,RBF,0.001098689926454236,-,0.1,0.014914528898443843,0.01504395423747981
5947,-,RBF,0.0011063319192345024,-,0.1,0.014916141965184624,0.015050845342023176
5944,-,RBF,0.0011140270662780849,-,0.1,0.014917768895332344,0.015057770817357161
5941,-,RBF,0.0011217757373021202,-,0.1,0.01491940994064475,0.015064730844256309
5938,-,RBF,0.0011295783045953362,-,0.1,0.014921065356470324,0.015071725604099123
5935,-,RBF,0.0011374351430359338,-,0.1,0.014922735401927519,0.015078755278792355
5932,-,RBF,0.0011453466301095925,-,0.1,0.014924420339791047,0.01508582005076035
5929,-,RBF,0.0011533131459276124,-,0.1,0.014926120436451154,0.015092920102962782
5926,-,RBF,0.0011613350732451822,-,0.1,0.01492783596194881,0.015100055618796803
5923,-,RBF,0.0011694127974797635,-,0.1,0.014929567190022586,0.01510722678214814
5920,-,RBF,0.001177546706729603,-,0.1,0.014931314397876417,0.01511443377733044
5917,-,RBF,0.0011857371917923835,-,0.1,0.014933077866520282,0.015121676789079098
5914,-,RBF,0.0011939846461840068,-,0.1,0.014934857880224289,0.015128956002506393
5911,-,RBF,0.0012022894661574948,-,0.1,0.014936654727077003,0.015136271603105666
5908,-,RBF,0.0012106520507220203,-,0.1,0.014938468698516314,0.015143623776712946
5905,-,RBF,0.0012190728016620849,-,0.1,0.014940300089576404,0.015151012709473149
5902,-,RBF,0.0012275521235568282,-,0.1,0.014942149198669812,0.015158438587849082
5899,-,RBF,0.0012360904237994606,-,0.1,0.014944016327770992,0.015165901598546578
5896,-,RBF,0.0012446881126168298,-,0.1,0.01494590178202944,0.015173401928514265
5893,-,RBF,0.0012533456030891373,-,0.1,0.014947805870242182,0.015180939764951893
5890,-,RBF,0.0012620633111697906,-,0.1,0.01494972890439893,0.015188515295199025
5887,-,RBF,0.0012708416557053817,-,0.1,0.014951671199839329,0.01519612870677498
5884,-,RBF,0.0012796810584558053,-,0.1,0.014953633075241488,0.015203780187362024
5881,-,RBF,0.0012885819441145277,-,0.1,0.01495561485241567,0.015211469924707932
5878,-,RBF,0.0012975447403289985,-,0.1,0.01495761685651554,0.015219198106634088
5875,-,RBF,0.0013065698777211905,-,0.1,0.014959639415758867,0.015226964921051266
5872,-,RBF,0.0013156577899082827,-,0.1,0.014961682861616222,0.015234770555846157
5869,-,RBF,0.0013248089135235,-,0.1,0.01496374752857207,0.015242615198911796
5866,-,RBF,0.001334023688237098,-,0.1,0.014965833754201048,0.015250499038081239
5863,-,RBF,0.0013433025567774813,-,0.1,0.014967941879129759,0.01525842226112461
5860,-,RBF,0.0013526459649524669,-,0.1,0.014970072246917794,0.015266385055701886
5857,-,RBF,0.0013620543616707107,-,0.1,0.014972225204097144,0.015274387609326654
5854,-,RBF,0.0013715281989632815,-,0.1,0.014974401100022737,0.015282430109334468
5851,-,RBF,0.0013810679320053736,-,0.1,0.014976600286959069,0.01529051274288067
5848,-,RBF,0.0013906740191381676,-,0.1,0.014978823119951556,0.015298635696858269
5845,-,RBF,0.0014003469218908595,-,0.1,0.014981069956825497,0.015306799157887767
5842,-,RBF,0.0014100871050028415,-,0.1,0.014983341158009828,0.015315003312301866
5839,-,RBF,0.001419895036446024,-,0.1,0.0149856370866731,0.015323248346071856
5836,-,RBF,0.0014297711874473125,-,0.1,0.014987958108506476,0.015331534444794983
5833,-,RBF,0.0014397160325112545,-,0.1,0.014990304591856794,0.015339861793661091
5830,-,RBF,0.0014497300494428452,-,0.1,0.01499267690745905,0.015348230577410436
5827,-,RBF,0.0014598137193704759,-,0.1,0.014995075428526699,0.015356640980289597
5824,-,RBF,0.0014699675267690437,-,0.1,0.014997500530669306,0.015365093186034849
5821,-,RBF,0.001480191959483235,-,0.1,0.014999952591724383,0.015373587377822698
5818,-,RBF,0.0014904875087509712,-,0.1,0.015002431991958741,0.015382123738226965
5815,-,RBF,0.0015008546692270044,-,0.1,0.015004939113657134,0.015390702449180367
5812,-,RBF,0.0015112939390066744,-,0.1,0.01500747434142149,0.015399323691973546
5809,-,RBF,0.001521805819649849,-,0.1,0.01501003806181097,0.015407987647142291
5806,-,RBF,0.0015323908162050274,-,0.1,0.015012630663439865,0.015416694494494398
5803,-,RBF,0.0015430494372335995,-,0.1,0.01501525253697537,0.015425444413068532
5800,-,RBF,0.0015537821948342712,-,0.1,0.015017904074804697,0.015434237581034564
5797,-,RBF,0.0015645896046676772,-,0.1,0.015020585671272998,0.015443074175723357
5794,-,RBF,0.001575472185981163,-,0.1,0.015023297722438716,0.015451954373548538
5791,-,RBF,0.001586430461633725,-,0.1,0.015026040626037686,0.015460878349968685
5788,-,RBF,0.0015974649581211235,-,0.1,0.01502881478149921,0.01546984627945561
5785,-,RBF,0.001608576205601187,-,0.1,0.015031620589722915,0.015478858335465584
5782,-,RBF,0.0016197647379192907,-,0.1,0.015034458453132494,0.01548791469033962
5779,-,RBF,0.0016310310926339981,-,0.1,0.015037328775573433,0.015497015515352939
5776,-,RBF,0.0016423758110428804,-,0.1,0.015040231962174666,0.015506160980612402
5773,-,RBF,0.001653799438208531,-,0.1,0.015043168419444522,0.015515351254993998
5770,-,RBF,0.0016653025229847616,-,0.1,0.01504613855497915,0.015524586506175988
5767,-,RBF,0.001676885618042964,-,0.1,0.015049142777497913,0.015533866900521947
5764,-,RBF,0.0016885492798986556,-,0.1,0.015052181496818503,0.01554319260309933
5761,-,RBF,0.001700294068938225,-,0.1,0.015055255123685997,0.015552563777581003
5758,-,RBF,0.0017121205494458644,-,0.1,0.015058364069739587,0.01556198058623576
5755,-,RBF,0.0017240292896306738,-,0.1,0.015061508747419284,0.015571443189888743
5752,-,RBF,0.0017360208616539513,-,0.1,0.015064689569917302,0.015580951747842303
5749,-,RBF,0.001748095841656691,-,0.1,0.015067906951020272,0.015590506417886521
5746,-,RBF,0.0017602548097872736,-,0.1,0.015071161305147279,0.015600107356190544
5743,-,RBF,0.001772498350229331,-,0.1,0.015074453047146448,0.015609754717318796
5740,-,RBF,0.0017848270512298046,-,0.1,0.01507778259229985,0.015619448654160711
5737,-,RBF,0.001797241505127217,-,0.1,0.01508115035620384,0.015629189317873732
5734,-,RBF,0.0018097423083801394,-,0.1,0.015084556754695857,0.015638976857860497
5731,-,RBF,0.0018223300615958413,-,0.1,0.01508800220369693,0.015648811421714703
5728,-,RBF,0.0018350053695591366,-,0.1,0.015091487119318353,0.015658693155174673
5725,-,RBF,0.0018477688412614503,-,0.1,0.015095011917540235,0.015668622202093068
5722,-,RBF,0.0018606210899300873,-,0.1,0.015098577014303389,0.01567859870436348
5719,-,RBF,0.0018735627330576847,-,0.1,0.015102182825308974,0.01568862280191219
5716,-,RBF,0.0018865943924318723,-,0.1,0.015105829766000773,0.015698694632622624
5713,-,RBF,0.0018997166941651547,-,0.1,0.015109518251412562,0.0157088143323025
5710,-,RBF,0.001912930268725002,-,0.1,0.015113248696162943,0.015718982034659018
5707,-,RBF,0.0019262357509641334,-,0.1,0.015117021514311532,0.01572919787120609
5704,-,RBF,0.0019396337801510079,-,0.1,0.015120837119293669,0.015739461971273433
5701,-,RBF,0.001953125000000548,-,0.1,0.01512469592375568,0.015749774461923376
5698,-,RBF,0.0019667100587050785,-,0.1,0.01512859833958778,0.01576013546791606
5695,-,RBF,0.001980389608965456,-,0.1,0.015132544777724766,0.015770545111692427
5692,-,RBF,0.001994164308022423,-,0.1,0.015136535648114404,0.015781003513277225
5689,-,RBF,0.0020080348176881925,-,0.1,0.015140571359593125,0.01579151079027831
5686,-,RBF,0.002022001804378254,-,0.1,0.015144652319861973,0.015802067057827437
5683,-,RBF,0.002036065939143385,-,0.1,0.015148778935283111,0.015812672428536543
5680,-,RBF,0.0020502278977018794,-,0.1,0.015152951610870437,0.015823327012456014
5677,-,RBF,0.002064488360472023,-,0.1,0.015157170750140565,0.01583403091701312
5674,-,RBF,0.002078848012604797,-,0.1,0.015161436755117962,0.015844784247003613
5671,-,RBF,0.002093307544016782,-,0.1,0.015165750026066007,0.015855587104519897
5668,-,RBF,0.0021078676494233,-,0.1,0.015170110961588396,0.015866439588919673
5665,-,RBF,0.0021225290283717994,-,0.1,0.015174519958448313,0.015877341796775208
5662,-,RBF,0.002137292385275475,-,0.1,0.015178977411424883,0.015888293821841825
5659,-,RBF,0.002152158429447105,-,0.1,0.015183483713268709,0.015899295754991633
5656,-,RBF,0.002167127875133116,-,0.1,0.015188039254626808,0.015910347684214704
5653,-,RBF,0.002182201441547912,-,0.1,0.015192644423916797,0.01592144969452591
5650,-,RBF,0.0021973798529084394,-,0.1,0.01519729960726304,0.01593260186796177
5647,-,RBF,0.002212663838468972,-,0.1,0.015202005188326335,0.01594380428351791
5644,-,RBF,0.002228054132556137,-,0.1,0.015206761548326102,0.015955057017114048
5641,-,RBF,0.0022435514746042074,-,0.1,0.015211569065871558,0.015966360141560144
5638,-,RBF,0.002259156609190639,-,0.1,0.01521642811680836,0.015977713726502835
5635,-,RBF,0.002274870286071834,-,0.1,0.01522133907429307,0.01598911783839396
5632,-,RBF,0.0022906932602191512,-,0.1,0.01522630230852308,0.01600057254044254
5629,-,RBF,0.002306626291855191,-,0.1,0.015231318186801264,0.016012077892601544
5626,-,RBF,0.00232267014649033,-,0.1,0.015236387073278275,0.016023633951479595
5623,-,RBF,0.002338825594959493,-,0.1,0.015241509328983837,0.016035240770354845
5620,-,RBF,0.002355093413459171,-,0.1,0.015246685311704757,0.016046898399091652
5617,-,RBF,0.002371474383584732,-,0.1,0.015251915375847884,0.0160586068841463
5614,-,RBF,0.0023879692923679786,-,0.1,0.015257199872398392,0.01607036626849538
5611,-,RBF,0.002404578932314954,-,0.1,0.015262539148776106,0.01608217659161458
5608,-,RBF,0.0024213041014440047,-,0.1,0.015267933548825684,0.016094037889431673
5605,-,RBF,0.0024381456033241338,-,0.1,0.015273383412661032,0.01610595019430747
5602,-,RBF,0.0024551042471136204,-,0.1,0.015278889076540592,0.01611791353498643
5599,-,RBF,0.0024721808475988848,-,0.1,0.0152844508728837,0.01612992793656464
5596,-,RBF,0.0024893762252336227,-,0.1,0.015290069130079666,0.01614199342045997
5593,-,RBF,0.002506691206178238,-,0.1,0.015295744172461156,0.016154110004367256
5590,-,RBF,0.002524126622339544,-,0.1,0.015301476320188507,0.016166277702258973
5587,-,RBF,0.0025416833114107256,-,0.1,0.015307265889153003,0.016178496524286264
5584,-,RBF,0.002559362116911573,-,0.1,0.015313113190902982,0.01619076647681804
5581,-,RBF,0.002577163888229017,-,0.1,0.015319018532584293,0.01620308756237484
5578,-,RBF,0.002595089480657959,-,0.1,0.015324982216787249,0.01621545977958429
5575,-,RBF,0.0026131397554423424,-,0.1,0.015331004541492343,0.0162278831231869
5572,-,RBF,0.0026313155798165263,-,0.1,0.015337085800049837,0.016240357583991106
5569,-,RBF,0.002649617827046961,-,0.1,0.015343226280975003,0.016252883148822568
5566,-,RBF,0.0026680473764741568,-,0.1,0.015349426267915047,0.016265459800525007
5563,-,RBF,0.0026866051135549227,-,0.1,0.01535568603964758,0.016278087517924783
5560,-,RBF,0.002705291929904894,-,0.1,0.015362005869904936,0.016290766275814144
5557,-,RBF,0.002724108723341381,-,0.1,0.015368386027232903,0.016303496044877793
5554,-,RBF,0.0027430563979265227,-,0.1,0.015374826775107072,0.01631627679173241
5551,-,RBF,0.0027621358640107065,-,0.1,0.015381328371663975,0.01632910847887079
5548,-,RBF,0.002781348038276294,-,0.1,0.015387891069728307,0.016341991064619418
5545,-,RBF,0.0028006938437816777,-,0.1,0.015394515116714882,0.01635492450316669
5542,-,RBF,0.0028201742100056413,-,0.1,0.015401200754521012,0.016367908744472887
5539,-,RBF,0.0028397900728920063,-,0.1,0.015407948219472827,0.016380943734308033
5536,-,RBF,0.002859542374894583,-,0.1,0.015414757742235814,0.01639402941420146
5533,-,RBF,0.0028794320650224665,-,0.1,0.015421629547837585,0.016407165721429258
5530,-,RBF,0.0028994600988856475,-,0.1,0.01542856385541578,0.016420352588994113
5527,-,RBF,0.0029196274387409088,-,0.1,0.015435560878294013,0.016433589945605405
5524,-,RBF,0.002939935053538044,-,0.1,0.015442620823860267,0.0164468777156575
5521,-,RBF,0.002960383918966426,-,0.1,0.0154497438934862,0.01646021581922783
5518,-,RBF,0.0029809750175018982,-,0.1,0.015456930282528177,0.016473604172051667
5515,-,RBF,0.0030017093384539645,-,0.1,0.015464180180125384,0.016487042685491175
5512,-,RBF,0.0030225878780133046,-,0.1,0.015471493769283915,0.016500531266554593
5509,-,RBF,0.003043611639299653,-,0.1,0.01547887122673017,0.01651406981785683
5506,-,RBF,0.0030647816324100097,-,0.1,0.015486312722864357,0.016527658237618356
5503,-,RBF,0.0030860988744671534,-,0.1,0.015493818421687651,0.016541296419652615
5500,-,RBF,0.0031075643896684964,-,0.1,0.015501388480770715,0.01655498425334394
5497,-,RBF,0.0031291792093353084,-,0.1,0.015509023051186626,0.016568721623664986
5494,-,RBF,0.0031509443719622793,-,0.1,0.01551672227743797,0.016582508411121695
5491,-,RBF,0.003172860923267403,-,0.1,0.01552448629740144,0.01659634449180846
5488,-,RBF,0.0031949299162421997,-,0.1,0.015532315242341959,0.016610229737343128
5485,-,RBF,0.0032171524112023266,-,0.1,0.015540209236701581,0.01662416401489116
5482,-,RBF,0.003239529475838533,-,0.1,0.01554816839823237,0.016638147187158937
5479,-,RBF,0.0032620621852679477,-,0.1,0.015556192837835709,0.016652179112380504
5476,-,RBF,0.003284751622085712,-,0.1,0.015564282659544302,0.016666259644311437
5473,-,RBF,0.0033075988764170133,-,0.1,0.015572437960482277,0.01668038863225142
5470,-,RBF,0.003330605045969474,-,0.1,0.015580658830802195,0.01669456592100872
5467,-,RBF,0.0033537712360858785,-,0.1,0.015588945353651205,0.01670879135092967
5464,-,RBF,0.0033770985597972613,-,0.1,0.015597297605138212,0.016723064757872146
5461,-,RBF,0.0034005881378763995,-,0.1,0.015605715654262007,0.01673738597323383
5458,-,RBF,0.003424241098891678,-,0.1,0.015614199562941238,0.016751754823937117
5455,-,RBF,0.003448058579261297,-,0.1,0.015622749385891598,0.016766171132439306
5452,-,RBF,0.003472041723307851,-,0.1,0.015631365170638414,0.01678063471673184
5449,-,RBF,0.0034961916833133305,-,0.1,0.015640046957520227,0.016795145390356078
5446,-,RBF,0.0035205096195744952,-,0.1,0.015648794779547698,0.016809702962403274
5443,-,RBF,0.00354499670045861,-,0.1,0.015657608662467844,0.016824307237518193
5440,-,RBF,0.0035696541024595567,-,0.1,0.015666488624715424,0.016838958015909827
5437,-,RBF,0.0035944830102543806,-,0.1,0.015675434677383592,0.016853655093376153
5434,-,RBF,0.0036194846167602254,-,0.1,0.015684446824175993,0.016868398261290198
5431,-,RBF,0.003644660123191629,-,0.1,0.015693525061397172,0.016883187306629875
5428,-,RBF,0.003670010739118219,-,0.1,0.015702669377959843,0.01689802201197208
5425,-,RBF,0.0036955376825228464,-,0.1,0.015711879755313875,0.016912902155534502
5422,-,RBF,0.0037212421798601195,-,0.1,0.01572115616746597,0.016927827511165915
5419,-,RBF,0.003747125466115314,-,0.1,0.015730498580958922,0.016942797848363726
5416,-,RBF,0.003773188784863689,-,0.1,0.015739906954850724,0.016957812932313663
5413,-,RBF,0.003799433388330253,-,0.1,0.01574938124069135,0.01697287252386797
5410,-,RBF,0.0038258605374499478,-,0.1,0.015758921382526245,0.016987976379602518
5407,-,RBF,0.00385247150192821,-,0.1,0.015768527316893294,0.017003124251812936
5404,-,RBF,0.0038792675603019585,-,0.1,0.015778198972804035,0.01701831588854142
5401,-,RBF,0.003906250000001039,-,0.1,0.015787936271730144,0.017033551033602778
5398,-,RBF,0.003933420117410098,-,0.1,0.015797739127615965,0.0170488294266018
5395,-,RBF,0.003960779217930853,-,0.1,0.01580760744691081,0.017064150802958467
5392,-,RBF,0.003988328616044787,-,0.1,0.015817541128469816,0.017079514893923245
5389,-,RBF,0.004016069635376326,-,0.1,0.01582754006364613,0.017094921426621085
5386,-,RBF,0.004044003608756448,-,0.1,0.015837604136282196,0.017110370124067586
